"Energy"	"Total"
-2.038914663857035e-01	9.939397368639408e+00
-2.038881542801926e-01	9.939661940735171e+00
-1.997618569626083e-01	1.026234409730277e+01
-1.991136691330350e-01	1.050216772914395e+01
-1.991063789630780e-01	1.050425102891921e+01
-1.979160857321000e-01	1.074699545675972e+01
-1.979114731174956e-01	1.074764304511560e+01
-1.946711025787529e-01	1.099552175563763e+01
-1.946643734871900e-01	1.102414485962828e+01
-1.945835171924287e-01	1.170403420726590e+01
-1.945763314157120e-01	1.173445454064220e+01
-1.865694915724964e-01	1.237819271363435e+01
-1.865629514924178e-01	1.238234885760494e+01
-1.858659610635639e-01	1.321157055726975e+01
-1.858587279801025e-01	1.321766629671879e+01
-1.845331134819838e-01	1.387676881100728e+01
-1.845282848012345e-01	1.387900004329224e+01
-1.816375184295563e-01	1.511077141130940e+01
-1.816299326339068e-01	1.511638173614490e+01
-1.799423238408245e-01	1.689544248841437e+01
-1.799388886554570e-01	1.689905451680728e+01
-1.786077355921529e-01	1.829475230165013e+01
-1.771401206819472e-01	1.665143395958029e+01
-1.771348432924985e-01	1.664838323972502e+01
-1.720676643866974e-01	1.644843872511777e+01
-1.720592712324787e-01	1.644819052239010e+01
-1.695367807244489e-01	1.639867550547744e+01
-1.695292590656518e-01	1.639796688794716e+01
-1.665453524581880e-01	1.589454388637470e+01
-1.665363595992132e-01	1.589327362033653e+01
-1.652810826875645e-01	1.575047228424403e+01
-1.652710317397019e-01	1.575137067723229e+01
-1.635368144261865e-01	1.625792461608854e+01
-1.635247283222256e-01	1.626296251045652e+01
-1.624095350128569e-01	1.686777677666815e+01
-1.623998025357814e-01	1.687132325538301e+01
-1.608861717300848e-01	1.715259688166451e+01
-1.608744386540182e-01	1.715567992164148e+01
-1.607140507244852e-01	1.721029555309815e+01
-1.607016783167098e-01	1.721212210201243e+01
-1.566459251916998e-01	1.702575323969574e+01
-1.542235905166594e-01	1.668478502455856e+01
-1.542112029776490e-01	1.668357080204920e+01
-1.525305227775202e-01	1.658974939475657e+01
-1.525179506366126e-01	1.658856950417846e+01
-1.521846469322892e-01	1.654429937358853e+01
-1.521782454742368e-01	1.654389205580078e+01
-1.486985246523406e-01	1.656693965008714e+01
-1.486894840765995e-01	1.656733360992002e+01
-1.457052305748216e-01	1.680748390139743e+01
-1.456907461177390e-01	1.680847340448545e+01
-1.410383583695031e-01	1.707009934318990e+01
-1.410246141576167e-01	1.708935181205272e+01
-1.408960420144587e-01	1.744380873984974e+01
-1.408834330565489e-01	1.746175995163427e+01
-1.371392413242382e-01	1.775716361333075e+01
-1.371224222916822e-01	1.779053772846191e+01
-1.369610493924973e-01	1.841883314978568e+01
-1.369444863110321e-01	1.846749791647397e+01
-1.367817485814608e-01	1.878947653166895e+01
-1.367655438347966e-01	1.881056073579492e+01
-1.347931094717316e-01	2.004652387672107e+01
-1.347869839886030e-01	2.004916327914356e+01
-1.300503484495105e-01	2.114990093414064e+01
-1.300345850957894e-01	2.115614213675998e+01
-1.295203655167005e-01	2.144557561165667e+01
-1.295077853774562e-01	2.146808095182166e+01
-1.290572698817502e-01	2.281262971538650e+01
-1.290397068155206e-01	2.285048702625081e+01
-1.284481639954055e-01	2.366724877385991e+01
-1.257775612387363e-01	2.054326851468052e+01
-1.257685740590956e-01	2.051768534194871e+01
-1.245166475373881e-01	1.485220776089704e+01
-1.245040604188730e-01	1.480931587733044e+01
-1.237572885063931e-01	1.310107184314641e+01
-1.237394811073642e-01	1.274402384181865e+01
-1.236623745779759e-01	9.823528067613049e+00
-1.236449624479148e-01	9.479318833842433e+00
-1.200819038093843e-01	3.767536347090793e+00
-1.200656453003445e-01	3.745724285212049e+00
-1.170404964092369e-01	4.808023827749024e-01
-1.170404964092369e-01	2.457590908960007e-01
-1.170210026595825e-01	2.352465751605812e-01
-1.170210026595825e-01	0.000000000000000e+00
1.697596636216617e-02	0.000000000000000e+00
1.697596636216617e-02	2.964207058670121e-01
2.628582911571346e-02	1.731745114379097e+00
2.629290035130272e-02	1.733356013580595e+00
3.339835436082157e-02	3.874378490329883e+00
3.341141841841158e-02	3.877350424471014e+00
3.716516907753123e-02	4.455393037298233e+00
3.717191453642098e-02	4.456251402881639e+00
4.243774216899420e-02	4.983964191564132e+00
4.245314391860616e-02	4.985863450107107e+00
4.877669682597112e-02	5.913684104264822e+00
5.230543628479102e-02	6.974423849770964e+00
5.231855486799486e-02	6.977232065902760e+00
5.791343358149283e-02	7.693898427905016e+00
5.793449904719578e-02	7.696180163136001e+00
6.323058054714249e-02	8.165785807109701e+00
6.324131161802807e-02	8.167247163729243e+00
6.533083318515807e-02	8.549129865060022e+00
6.535803412170263e-02	8.555503329120619e+00
6.739590147832859e-02	9.140036009451526e+00
6.741751957174512e-02	9.144542634882306e+00
7.439814560148920e-02	1.005264150609264e+01
7.440299878326198e-02	1.005332022064998e+01
8.073677564576515e-02	1.099640559488688e+01
8.077369035207305e-02	1.101204041353917e+01
8.223340658282688e-02	1.204436936508663e+01
8.735139725866042e-02	1.308509913957998e+01
8.736435423084610e-02	1.309372470945611e+01
8.837668620769228e-02	1.423584090968359e+01
8.839629596795494e-02	1.428658581545577e+01
8.849221574446116e-02	1.463702513446574e+01
8.853829409907062e-02	1.472385583966887e+01
8.913217516040146e-02	1.503468137730636e+01
8.914904277171357e-02	1.511754356391797e+01
8.931054305623277e-02	1.656644091797649e+01
8.933967080201079e-02	1.670459059605626e+01
9.236729621527673e-02	1.921344518392203e+01
9.240154801188531e-02	1.925439585602537e+01
9.434005325174501e-02	2.229899852171381e+01
9.435083518234319e-02	2.231162754724012e+01
9.599630822218450e-02	2.355646189573723e+01
